framenum	recvswapchain	sendcamera	alphaadd	copyintoswap	netframetime	fps	mbps
118	27.638000	0.172000	12.442000	0.476000	42.463001	23.549913	226.059296	
119	28.469999	8.395000	12.705000	0.978000	44.090000	22.680880	217.419083	
120	36.979000	0.195000	9.009000	0.528000	48.480999	20.626638	168.689835	
121	33.564999	0.224000	9.981000	0.580000	45.458000	21.998327	188.068527	
122	33.363998	0.189000	9.921000	0.484000	45.915001	21.779375	186.016678	
123	33.060001	5.861000	5.518000	0.426000	41.228001	24.255360	183.939209	
124	42.375000	3.855000	7.078000	0.479000	52.455002	19.063959	144.183716	
125	39.570000	0.493000	6.982000	0.485000	48.909000	20.446135	156.726105	
126	36.039001	0.180000	7.905000	0.509000	46.123001	21.681156	173.003799	
127	33.314026	0.194000	8.674000	0.483000	45.257019	22.096020	184.122314	
128	33.987999	0.169000	9.575000	0.547000	45.973999	21.751425	182.218445	
129	31.642000	0.375000	10.045000	0.578000	44.199001	22.624945	195.465759	
130	33.575001	0.193000	9.636000	0.585000	46.146000	21.670351	183.242737	
131	31.771999	0.195000	10.218000	0.499000	44.756001	22.343372	192.187698	
132	33.230999	0.204000	10.071000	0.481000	45.782001	21.842646	185.495667	
133	32.855999	0.197000	10.455000	0.586000	45.556999	21.950523	192.322815	
134	30.816999	0.179000	10.856000	0.508000	44.209999	22.619318	199.760468	
135	31.937000	0.169000	9.540000	0.510000	44.560001	22.441650	188.728592	
136	34.707001	0.204000	9.625000	0.502000	47.015999	21.269356	178.157578	
137	34.324001	0.169000	9.794000	0.451000	46.396999	21.553118	179.540451	
138	31.528000	0.190000	10.590000	0.459000	44.742001	22.350365	193.768097	
139	32.356998	0.200000	10.004000	0.482000	44.771000	22.335888	190.980072	
140	34.502998	0.198000	10.028000	0.493000	47.154999	21.206659	178.826004	
141	33.659000	0.474000	10.855000	1.296000	48.028000	20.821188	184.197693	
142	30.586000	0.208000	12.618000	1.371000	47.643002	20.989441	201.217148	
143	25.997999	0.130000	11.495000	0.539000	40.071999	24.955082	243.063522	
144	31.667999	0.198000	13.327000	1.238000	48.111000	20.785267	198.312256	
145	28.250999	0.188000	12.624000	1.318000	44.187000	22.631090	223.291321	
146	27.559000	0.145000	3.728000	0.437000	32.938999	30.359150	229.514664	
147	37.615002	0.142000	9.484000	0.474000	50.797001	19.686201	161.888077	
148	33.958000	0.299000	10.863000	1.245000	49.195984	20.326862	178.278732	
149	32.113998	0.192000	12.675000	1.324000	48.653999	20.553295	190.598206	
150	24.760000	0.189000	12.610000	1.336000	42.202999	23.694998	242.979050	
151	30.437000	0.195000	12.697000	1.311000	46.576000	21.470285	209.122696	
152	27.315001	0.230000	12.594000	1.319000	46.473999	21.517408	216.827133	
153	23.090000	0.332000	16.830000	0.515000	41.855999	23.891438	276.669159	
154	19.822001	0.192000	12.662000	0.564000	36.435001	27.446136	306.855408	
155	22.208000	0.454000	9.436000	0.485000	35.175999	28.428474	274.688110	
156	33.986000	0.189000	10.819000	0.580000	48.673000	20.545271	181.723724	
157	25.808001	0.187000	11.522000	1.216000	41.153000	24.299564	241.700195	
158	33.671001	0.181000	13.609000	1.223000	52.785000	18.944777	175.381378	
159	23.697001	0.196000	12.613000	0.493000	39.902000	25.061399	250.107574	
160	22.986000	0.199000	12.671000	0.515000	38.117001	26.235012	267.130432	
161	26.183001	0.408000	15.511000	0.587000	47.313999	21.135393	214.177231	
162	18.379999	0.176000	12.268000	0.498000	32.588001	30.686140	342.299042	
163	20.927000	0.190000	12.632000	1.377000	37.013000	27.017534	297.271606	
164	22.469999	0.196000	12.723000	1.338000	39.424999	25.364616	278.038544	
165	18.851999	0.192000	12.711000	1.243000	35.668999	28.035549	314.368469	
166	26.959000	0.184000	11.596000	1.362000	41.438999	24.131857	233.778839	
167	21.823999	0.196000	12.679000	0.516000	37.042999	26.995655	283.309570	
168	28.539000	0.227000	11.904000	0.452000	43.001999	23.254732	215.512482	
169	30.764000	0.179000	11.141000	0.519000	43.680000	22.893772	205.757797	
170	27.105000	0.204000	12.218000	0.546000	41.676998	23.994051	230.608322	
171	22.486000	0.196000	12.610000	0.797000	37.856998	26.415195	276.839600	
172	28.591999	0.173000	12.043030	0.541000	43.255981	23.118191	214.740128	
173	30.063999	0.447000	11.054000	0.452000	43.630001	22.920008	204.221649	
174	33.087002	0.186000	10.232000	0.443000	45.555000	21.951487	187.731796	
175	28.156000	0.160000	11.051000	0.502000	41.806999	23.919439	220.327652	
176	25.919001	0.162000	12.594000	0.442000	40.251999	24.843487	244.110352	
177	25.111000	0.162000	11.546000	0.736000	40.174999	24.891102	239.209763	
178	30.421000	0.191000	10.948000	0.491000	44.132000	22.659294	199.210175	
179	25.392000	0.184000	12.360000	0.444000	40.254002	24.842251	241.653778	
180	24.802999	0.193000	12.658000	0.550000	40.382000	24.763508	245.376617	
181	19.961000	0.198000	12.652000	0.566000	35.778999	27.949356	303.568451	
182	19.441999	0.198000	12.626000	0.632000	35.750999	27.971247	300.164917	
183	20.011999	0.183000	11.252000	0.579000	38.950001	25.673941	314.509888	
184	28.830999	3.560000	5.664000	1.650000	40.008999	24.994377	212.678513	
185	39.751999	0.122000	6.054000	0.486000	48.313000	20.698362	154.874237	
186	33.792000	0.179000	8.695000	0.476000	44.884998	22.279160	183.237411	
187	31.641001	0.179000	10.011000	0.477000	45.022999	22.210871	190.327225	
188	28.671000	0.191000	11.686000	0.517000	42.812000	23.357937	216.297882	
189	24.965000	0.196000	12.646000	0.782000	40.514000	24.682825	250.316544	
190	28.172001	0.199000	11.485000	0.476000	42.700001	23.419203	215.963760	
191	23.042999	0.196000	12.641000	0.799000	38.759998	25.799795	264.814209	
192	21.075001	0.238000	13.875000	0.485000	37.307999	26.803904	288.704865	
193	20.844999	0.187000	12.667000	1.267000	36.658001	27.279175	306.302612	
194	19.718000	0.183000	12.676000	1.341000	35.848000	27.895559	310.627838	
195	27.046000	0.435000	12.650000	0.574000	43.889999	22.784233	225.056564	
196	27.879000	0.189000	11.463013	0.473000	42.309998	23.635077	218.195740	
197	30.337999	11.571000	11.029000	0.567000	44.506001	22.468880	201.107788	
198	43.133999	0.140000	8.443000	0.528000	53.761002	18.600843	145.208679	
199	32.866001	0.167000	9.592000	0.653000	45.408001	22.022551	185.059143	
200	28.693001	4.144000	3.719000	0.470000	34.250999	29.196228	217.404068	
201	38.637001	0.253000	8.547000	0.467000	49.000999	20.407747	163.461151	
202	34.249001	0.180000	9.689000	0.533000	46.910999	21.316961	178.775177	
203	31.476000	0.159000	10.165000	0.487000	44.226002	22.611134	195.965012	
204	31.802000	0.258000	10.543000	0.537000	44.710999	22.365862	195.696808	
205	31.924999	0.200000	10.510000	0.540000	45.479000	21.988171	192.234665	
206	26.612000	0.196000	12.278000	0.520000	41.646000	24.011909	230.752121	
207	31.118999	10.837000	10.371000	0.632000	44.567001	22.438126	196.767868	
208	40.605000	0.167000	8.010000	0.488000	51.221001	19.523243	152.612656	
209	36.407001	0.167000	8.272000	0.469000	46.347000	21.576370	173.241974	
210	34.523998	0.169000	9.812000	0.555000	46.884998	21.328783	181.247284	
211	31.132999	0.195000	10.057000	0.514000	44.969002	22.237541	193.309647	
212	32.307999	0.192000	10.417000	0.501000	45.292000	22.078955	191.439163	
213	31.798000	0.204000	10.334000	0.495000	44.797001	22.322924	193.953278	
214	32.811001	0.204000	10.209000	0.623000	45.903000	21.785069	188.864563	
215	30.966000	0.184000	10.847000	0.521000	44.234001	22.607044	201.210693	
216	31.580999	0.177000	12.738000	1.320000	48.422001	20.651770	195.897873	
217	29.414000	0.205000	12.676000	0.582000	45.807999	21.830248	213.747925	
218	28.390991	0.188000	12.356000	1.367000	46.388000	21.557299	210.705460	
219	28.034000	0.185000	12.613000	1.250000	44.380001	22.532671	222.864197	
220	27.226999	0.200000	12.628000	0.552000	42.525002	23.515577	226.352081	
221	30.837000	0.185000	12.773000	0.588000	46.652000	21.435308	205.663635	
222	31.462000	0.307000	21.801001	0.473000	55.022999	18.174219	202.369202	
223	19.829000	0.160000	10.857000	0.475000	33.214001	30.107786	302.575714	
224	31.013000	0.167000	12.458000	0.538000	47.248001	21.164917	195.971100	
225	29.902000	0.471000	13.074000	0.540000	45.431999	22.010918	212.707306	
226	25.170000	0.197000	12.659000	0.570000	42.794998	23.367216	238.982605	
227	25.851999	0.212000	11.569000	1.362000	42.250999	23.668079	238.069244	
228	28.018000	0.473000	12.578000	0.530000	44.601002	22.421021	219.773499	
229	29.907000	0.209000	12.639000	1.371000	47.188999	21.191380	208.250519	
230	26.816999	0.198000	12.697000	1.272000	42.515999	23.520557	234.013611	
231	29.108999	0.192000	12.648000	0.752000	44.734001	22.354361	212.054886	
232	29.695999	0.188000	12.643000	1.270000	46.430000	21.537798	207.180695	
233	25.677999	0.188000	12.604000	1.277000	42.261002	23.662477	247.948929	
234	27.242001	0.216000	12.757000	1.372000	45.285000	22.082367	220.211975	
235	25.846001	0.239000	12.649000	1.259000	40.987999	24.397385	245.923309	
236	31.006001	0.470000	12.634000	1.364000	48.176998	20.756794	196.860229	
237	30.686001	0.185000	12.656000	1.277000	47.181999	21.194523	202.284622	
238	28.885000	0.385000	12.757000	1.296000	46.340000	21.579628	204.314499	
239	29.576000	0.193000	12.650000	1.259000	47.634998	20.992968	204.029572	
240	25.195984	0.185000	12.682000	1.370000	42.750977	23.391279	245.032333	
241	26.794001	0.197000	12.612000	1.281000	42.851002	23.336678	229.380798	
242	29.115000	0.186000	12.577000	0.534000	46.043999	21.718357	209.477798	
243	27.395000	0.184000	12.668000	1.270000	44.956001	22.243971	218.529221	
244	30.565001	0.176000	12.625000	0.578000	44.988998	22.227657	211.427765	
245	27.975000	0.181000	12.614000	1.272000	45.479000	21.988171	219.336777	
246	23.180000	0.184000	12.892000	1.215000	40.450001	24.721878	258.652191	
247	19.872999	0.172000	10.774000	0.624000	33.057999	30.249865	305.010712	
248	22.642000	0.192000	12.676000	1.133000	38.715000	25.829782	271.757446	
249	21.900999	0.514000	12.588000	1.201000	36.789001	27.182037	290.049164	
250	22.731001	0.429000	12.603000	0.469000	37.888000	26.393581	268.670471	
251	22.447001	0.178000	12.622000	0.548000	37.965000	26.340050	269.799561	
252	27.725000	0.158000	11.829000	1.268000	43.695000	22.885914	222.974777	
253	26.330000	0.187000	12.683000	1.277000	43.219002	23.137970	232.835800	
