recvswapchain	sendcamera	alphaadd	copyintoswap	netframetime	fps	mbps
44.442001	0.219000	0.478000	0.846000	47.558998	21.026516	188.254211
37.299999	0.163000	0.392000	0.585000	40.008999	24.994377	222.432785
42.925999	0.175000	0.417000	0.494000	45.372002	22.040024	193.911438
43.153000	0.205000	0.333000	0.771000	45.669998	21.896214	193.889008
34.973000	0.159000	0.334000	0.724000	37.766998	26.478144	240.196075
42.644001	0.185000	0.373000	0.533000	45.424000	22.014793	195.052155
42.895000	0.203000	0.339000	0.532000	45.678001	21.892376	192.659973
36.397999	0.144000	0.349000	0.466000	38.889000	25.714212	227.462982
42.792999	0.187000	0.329000	0.520000	45.222000	22.113131	194.495880
39.300999	0.193000	0.360000	0.731000	42.001999	23.808392	212.085251
35.755001	0.152000	0.372000	0.484000	38.328999	26.089907	232.069275
43.000999	0.201000	0.362000	0.990000	46.056000	21.712698	193.116821
37.432999	0.104000	0.221000	0.411000	39.674000	25.205425	221.944321
36.033001	0.133000	0.335000	0.713000	38.730000	25.819778	230.665390
35.998001	0.152000	0.359000	0.477000	38.577000	25.922182	230.020233
43.505001	0.195000	0.302000	0.517000	46.016998	21.731100	190.541916
43.021973	0.147000	0.279000	0.505000	45.528992	21.964027	194.852676
43.525002	0.170000	0.377000	0.504000	46.237000	21.627701	190.054108
42.959000	0.211000	0.294000	0.543000	45.848000	21.811203	191.704544
44.803001	0.503000	0.327000	0.552000	47.042999	21.257149	187.710800
44.311001	0.190000	0.370000	0.616000	47.811001	20.915688	183.710938
43.358002	0.488000	0.313000	0.553000	49.359001	20.259729	178.439255
37.148998	0.168000	0.378000	0.773000	40.349998	24.783148	222.787247
35.034000	0.210000	0.372000	0.512000	38.068001	26.268782	235.443253
39.411999	0.152000	0.372000	0.489000	42.381001	23.595478	208.723755
36.618000	0.267000	0.311000	0.528000	47.063000	21.248114	220.127197
46.035999	0.196000	0.336000	0.801000	49.089001	20.371162	180.028488
43.341000	0.182000	0.473000	0.553000	46.380001	21.561018	189.985229
37.008999	0.149000	0.277000	0.469000	39.723000	25.174332	222.044205
37.000000	0.160000	0.379000	0.483000	40.084999	24.946989	222.173569
43.950001	0.138000	0.254000	0.508000	46.311001	21.593142	188.890060
36.831001	0.159000	0.336000	0.469000	39.625000	25.236593	224.054718
43.750999	0.176000	0.291000	0.493000	46.418999	21.542904	189.684525
39.497002	0.145000	0.271000	0.498000	42.231998	23.678728	208.485138
45.598999	0.184000	0.300000	0.571000	48.441002	20.643669	181.512665
45.772999	0.186000	0.299000	0.816000	48.219002	20.738712	182.913773
38.820999	0.514000	0.194000	0.450000	41.113998	24.322617	211.951294
37.424000	0.113000	0.303000	0.459000	39.598999	25.253164	221.481400
50.112976	0.194000	0.416000	0.576000	52.911987	18.899309	166.055054
35.633999	0.201000	0.308000	0.521000	39.590000	25.258904	225.215652
37.205002	0.150000	0.341000	0.508000	39.523998	25.301085	223.893250
37.679001	0.207000	0.331000	0.812000	42.358002	23.608290	211.236099
35.284000	0.170000	0.424000	0.514000	39.050999	25.607540	229.887848
33.582001	0.182000	0.387000	0.494000	38.783001	25.784492	228.759430
36.467999	0.167000	0.436000	0.514000	40.995998	24.392624	219.132431
38.220001	0.160000	0.373000	0.500000	41.435001	24.134186	214.751114
38.443001	0.097000	0.241000	0.461000	40.744999	24.542889	214.542404
38.743999	0.150000	0.260000	0.827000	41.068001	24.349859	215.778580
36.398998	0.149000	0.348000	0.489000	39.035000	25.618034	226.786560
36.409000	0.145000	0.278000	0.473000	39.115002	25.565639	225.627579
37.094002	0.191000	0.304000	0.533000	39.935001	25.040689	222.793152
36.703999	0.139000	0.259000	0.675000	39.611000	25.245512	226.989059
37.972000	0.332000	0.535000	0.548000	41.118000	24.320250	217.490494
39.618999	0.170000	0.415000	0.490000	42.772999	23.379234	206.870728
36.973999	0.155000	0.498000	0.750000	40.127998	24.920256	224.168442
39.373001	0.167000	0.378000	0.568000	42.423000	23.572119	210.451782
43.202000	0.185000	0.377000	0.540000	46.459000	21.524355	190.343033
44.118000	0.210000	0.384000	0.816000	46.848000	21.345629	190.619858
