framenum	recvswapchain	sendcamera	alphaadd	copyintoswap	netframetime	fps	mbps
508	9.986000	0.291000	3.685000	3.767000	20.694000	48.323185	165.546982
509	10.470000	0.202000	3.737000	4.478000	20.340000	49.164207	181.811020
510	8.670000	0.121000	1.796000	6.409000	20.231001	49.429092	180.652740
511	12.301000	0.464000	3.972000	2.470000	21.764999	45.945328	146.751587
512	10.709000	0.548000	3.685000	3.002000	21.117001	47.355209	154.203964
513	8.422000	0.177000	3.695000	5.785000	21.474001	46.567940	184.043915
514	8.564000	0.179000	3.702000	6.568000	21.135000	47.314880	209.645126
515	8.679000	0.322000	3.851000	6.334000	21.974001	45.508327	206.451614
516	6.712000	0.196000	3.689000	8.968000	21.145000	47.292503	288.586182
517	3.068000	0.192000	3.722000	11.593000	21.575001	46.349941	454.437836
518	1.477000	0.199000	3.689000	13.036000	21.948000	45.562237	678.645020
519	1.931000	0.412000	3.686000	13.485000	20.615000	48.508369	1062.975830
520	0.542000	0.214000	3.647000	15.108000	21.090000	47.415836	3777.049072
521	0.353000	0.154000	3.685000	15.848000	21.916000	45.628765	8573.022461
522	0.596000	0.303000	3.764000	15.808000	22.278000	44.887333	8192.000000
523	0.692000	0.241000	3.759000	15.229000	21.054001	47.496910	5008.695312
524	0.613000	0.513000	3.762000	14.970000	21.500999	46.509464	6955.472168
525	0.658000	1.303000	3.669000	14.480000	21.622000	46.249191	1554.131592
526	6.284000	0.462000	3.774000	9.126000	21.292000	46.965996	304.610779
527	4.750000	0.479000	3.942000	11.274000	22.872000	43.721581	419.385651
528	2.205000	0.382000	6.519000	8.977000	22.096001	45.257057	468.054810
529	2.411000	0.198000	3.777000	11.615000	20.525999	48.718700	528.288879
530	1.908000	0.178000	3.717000	12.414000	20.724001	48.253231	666.618408
531	2.778000	0.919000	3.706000	13.252000	22.191000	45.063313	746.234802
532	2.947998	0.496000	4.017000	10.770000	20.442017	48.918854	462.189362
533	2.638000	0.410000	3.713000	11.520000	21.969999	45.516617	419.099579
534	3.374000	0.261000	3.698000	11.996000	22.153999	45.138577	463.814789
535	1.164000	0.409000	3.694000	14.218000	21.565001	46.371433	1427.730347
536	0.459000	0.187000	3.681000	14.697000	20.700001	48.309177	2801.215820
537	0.410000	0.469000	3.691000	15.686000	22.018000	45.417385	8416.438477
538	0.565000	0.178000	3.701000	15.032000	21.921000	45.618359	7944.827637
539	0.591000	0.516000	3.702000	15.616000	22.069000	45.312428	7492.682617
540	0.608000	0.184000	3.746000	14.997000	20.905001	47.835445	6559.430664
541	1.216000	0.169000	3.700000	14.925000	21.968000	45.520756	2036.685181
542	0.555000	0.217000	3.688000	15.573000	21.719999	46.040516	8192.000000
543	0.559000	0.174000	3.748000	15.558000	22.537001	44.371475	7680.000000
544	0.490000	0.521000	3.716000	15.358000	21.674000	46.138229	6490.140625
545	13.865000	0.194000	3.697000	1.282000	20.657000	48.409740	128.258301
