recvswapchain	sendcamera	alphaadd	copyintoswap	netframetime	fps	mbps
24.156000	0.204000	0.152000	0.382000	25.714001	38.889320	173.170853
24.290001	0.178000	0.155000	0.373000	26.500000	37.735847	167.740784
24.947001	0.270000	0.165000	0.393000	26.534000	37.687496	168.247406
24.754000	0.699000	0.171000	0.424000	26.613001	37.575619	170.332672
28.743000	0.244000	0.403000	0.459000	31.177000	32.074928	145.258331
25.527000	0.142000	0.138000	0.389000	29.430000	33.978931	154.343338
25.531000	0.192000	0.156000	0.414000	27.792000	35.981579	160.559540
21.155001	0.189000	0.159000	0.469000	24.039000	41.599068	189.707123
25.548000	0.218000	0.154000	0.421000	27.205000	36.757950	164.316833
22.731001	0.191000	0.152000	0.486000	24.379000	41.018909	186.447678
21.889000	0.103000	0.133000	0.388000	23.141001	43.213345	193.673264
22.680000	0.230000	0.154000	0.461000	24.687000	40.507149	180.690247
21.542999	0.641000	0.163000	0.493000	23.325001	42.872452	196.017639
22.518000	0.196000	0.188000	0.492000	24.264000	41.213322	187.906815
35.668999	0.228000	0.364000	0.479000	37.937000	26.359491	116.920479
26.254000	0.217000	0.160000	0.466000	28.313000	35.319466	162.243011
26.353001	0.196000	0.154000	0.482000	28.323000	35.306995	160.386963
27.579000	0.148000	0.140000	0.427000	29.429001	33.980087	151.758789
23.726000	0.353000	0.176000	0.501000	25.858999	38.671257	174.232437
21.112000	0.207000	0.151000	0.477000	22.865000	43.734966	199.100266
22.945999	0.352000	0.155000	0.478000	24.634001	40.594299	183.443237
32.531982	0.222000	0.400000	0.531000	35.320007	28.312565	126.934425
24.263000	0.232000	0.163000	0.503000	27.622000	36.203026	164.110291
26.204000	0.250000	0.174000	0.462000	27.973000	35.748756	161.123016
21.454000	0.229000	0.180000	0.560000	25.216999	39.655788	182.737167
21.642000	0.205000	0.176000	0.511000	23.514999	42.526047	194.231522
24.606001	0.222000	0.176000	0.434000	26.302999	38.018478	172.370636
30.481001	0.173000	0.236000	0.509000	34.042000	29.375477	131.480362
20.636000	0.193000	0.244000	0.531000	24.028000	41.618111	194.520889
20.976999	0.204000	0.189000	0.531000	24.313999	41.128571	187.333862
24.000000	0.885000	0.151000	0.502000	26.875999	37.207920	165.915573
21.698000	0.179000	0.151000	0.456000	25.167999	39.732994	179.048584
18.813999	0.133000	0.142000	0.430000	20.340000	49.164207	224.209488
20.721001	0.139000	0.138000	0.356000	22.066000	45.318588	201.705200
22.582001	0.191000	0.151000	0.483000	24.169001	41.375313	185.052048
22.804001	0.203000	0.176000	0.429000	24.634001	40.594299	182.529602
21.934999	0.253000	0.253000	0.530000	23.841999	41.942791	193.118225
24.677000	0.197000	0.176000	0.411000	26.510000	37.721615	168.961853
22.211000	0.191000	0.156000	0.547000	24.052999	41.574856	187.712616
23.365000	0.208000	0.176000	0.484000	25.111000	39.823185	181.152481
23.176001	0.444000	0.182000	0.439000	25.163000	39.740891	180.222595
24.785999	0.215000	0.179000	0.415000	26.666000	37.500938	168.444138
23.938999	0.170000	0.206000	0.386000	25.677999	38.943844	176.521896
25.011000	0.167000	0.181000	0.413000	27.493000	36.372894	162.533356
31.903999	0.481000	0.330000	0.438000	34.361000	29.102762	130.825745
22.572001	0.158000	0.213000	0.399000	27.131001	36.858204	166.769913
23.993999	0.156000	0.142000	0.383000	25.561001	39.122097	174.560043
25.068001	0.190000	0.145000	0.409000	26.981001	37.063118	166.106873
27.388000	0.196000	0.178000	0.502000	29.268000	34.167007	152.501099
24.485001	0.203000	0.255000	0.411000	27.875000	35.874439	162.856476
25.702000	0.162000	0.184000	0.363000	27.427999	36.459095	164.032974
24.639999	0.151000	0.139000	0.380000	27.951000	35.776894	159.292343
24.659000	0.150000	0.149000	1.581000	27.445000	36.436508	170.450806
24.301001	0.146000	0.151000	0.353000	25.937000	38.554958	172.755539
26.142000	0.217000	0.178000	0.390000	27.759001	36.024353	162.312347
25.862000	0.246000	0.166000	0.396000	27.547001	36.301594	162.331284
25.414000	0.194000	0.151000	0.414000	26.972000	37.075485	164.809464
28.139000	0.164001	0.187988	0.387000	29.742981	33.621376	149.025146
26.707001	0.189000	0.151000	0.379000	28.379999	35.236084	157.230164
25.931999	0.192000	0.155000	0.369000	27.657000	36.157211	161.098175
23.294001	0.189000	0.151000	0.370000	24.922001	40.125191	183.499649
23.275000	0.185000	0.150000	0.391000	25.056000	39.910599	182.338409
26.000000	0.201000	0.175000	0.396000	27.641001	36.178139	162.552322
25.726000	0.236000	0.150000	0.375000	27.792000	35.981579	163.136276
25.711000	0.203000	0.178000	0.394000	27.631001	36.191235	172.214340
25.091999	0.200000	0.206000	0.395000	26.746000	37.388767	168.641312
26.493999	0.222000	0.186000	0.408000	28.153000	35.520195	158.374527
26.488001	0.204000	0.185000	0.490000	28.487000	35.103733	158.524750
24.510000	0.202000	0.181000	0.489000	26.221001	38.137371	171.198166
26.396000	0.280000	0.235000	0.382000	28.045000	35.656979	158.959015
27.194000	0.147000	0.133000	0.368000	29.441000	33.966236	151.051010
25.412001	0.178000	0.150000	0.349000	27.413000	36.479042	162.850113
28.830999	0.203000	0.183000	0.356000	30.358999	32.939163	145.556915
25.684999	0.183000	0.153000	0.399000	28.257000	35.389462	157.847961
26.073000	0.194000	0.153000	1.137000	28.808001	34.712578	158.928772
24.388000	0.188000	0.159000	0.385000	26.165001	38.218994	171.704742
26.018999	0.216000	0.209000	0.415000	28.516001	35.068031	162.571304
26.172001	0.181000	0.256000	0.417000	28.513000	35.071720	159.207367
25.087000	0.189000	0.154000	0.395000	26.625000	37.558685	167.498688
26.035999	0.217000	0.174000	0.425000	27.837000	35.923412	161.409363
25.780001	0.199000	0.175000	1.125000	28.962000	34.528004	163.884979
23.197001	0.187000	0.156000	0.654000	25.577000	39.097626	180.424942
26.865000	0.694000	0.375000	0.848000	29.587000	33.798630	157.318985
24.099001	0.497000	0.213000	0.704000	26.740999	37.395760	176.127472
24.643999	0.478000	0.134000	0.388000	26.551001	37.663364	171.732986
27.565001	0.184000	0.149000	0.643000	29.674000	33.699535	151.725739
25.363001	0.192000	0.159000	0.651000	27.896000	35.847435	165.501511
25.912001	0.600000	0.334000	0.400000	28.756001	34.775352	161.048492
26.555000	0.188000	0.157000	0.428000	28.493000	35.096340	156.564362
26.076000	0.213000	0.154000	0.403000	27.663000	36.149368	162.123383
25.709000	0.502000	0.163000	0.399000	29.028000	34.449497	155.301453
25.639000	0.201000	0.177000	0.423000	27.594999	36.238449	164.510941
25.532000	0.148000	0.134000	0.346000	29.820999	33.533417	150.653397
26.440002	0.186000	0.153000	0.419000	28.338989	35.287075	158.621124
26.731001	0.167000	0.169000	0.384000	29.004999	34.476814	154.566025
32.980999	0.158000	0.224000	0.380000	35.006001	28.566530	126.328011
25.157000	0.484000	0.184000	0.407000	28.924000	34.573364	156.259872
26.083000	0.217000	0.153000	0.391000	27.746000	36.041229	162.862823
32.422001	0.132000	0.122000	0.362000	34.002998	29.409172	128.674118
27.555000	0.520000	0.136000	0.365000	29.184000	34.265350	151.346497
25.753000	0.190000	0.150000	0.376000	27.309000	36.617966	164.207047
28.122999	0.180000	0.216000	0.373000	29.850000	33.500835	149.227417
27.556999	0.367000	0.216000	0.389000	30.405001	32.889328	147.343323
25.886000	0.195000	0.173000	0.409000	28.291000	35.346931	159.834717
27.268000	0.194000	0.185000	0.439000	29.056000	34.416302	154.846725
26.480000	0.222000	0.168000	0.415000	28.576000	34.994400	157.585999
25.110001	0.217000	0.157000	0.390000	26.788000	37.330147	166.305222
25.254999	0.211000	0.218000	1.677000	29.101999	34.361900	166.344971
23.740000	0.362000	0.282000	0.578000	26.849001	37.245335	178.581741
23.105000	0.135000	0.118000	1.192000	25.746000	38.840984	180.059479
