framenum	recvswapchain	sendcamera	alphaadd	copyintoswap	netframetime	fps	mbps
144	20.653000	0.361000	2.690000	0.318000	24.642000	40.581120	89.715256	
145	19.583000	0.504000	3.163000	0.356000	26.011000	38.445274	85.974159	
146	21.693001	0.138000	2.518000	0.321000	25.968000	38.508934	83.557732	
147	20.629000	4.006000	3.541000	0.383000	25.635000	39.009167	89.414963	
148	22.187988	0.211000	3.055000	0.486000	27.992004	35.724487	83.501045	
149	14.108000	1.205000	4.202000	0.618000	21.219999	47.125355	124.448044	
150	16.872000	0.190000	3.694000	0.410000	23.302000	42.914772	103.696205	
151	16.656000	0.195000	4.253000	0.441000	23.025000	43.431053	106.592644	
152	19.547001	0.223000	3.695000	0.597000	25.191999	39.695141	93.378586	
153	15.372000	0.194000	3.803000	0.517000	20.924000	47.792011	118.648216	
154	14.877000	1.338000	4.109000	0.466000	21.110001	47.370914	122.888199	
155	18.052999	0.202000	3.719000	0.428000	24.415001	40.958427	98.079071	
156	15.268000	0.203000	4.193000	0.420000	22.497000	44.450371	110.444008	
157	18.443001	0.223000	3.744000	0.562000	24.711000	40.467808	96.386551	
158	14.937000	0.230000	3.736000	0.490000	21.167000	47.243351	116.857918	
159	15.038000	0.257000	3.942000	0.626000	21.412001	46.702782	120.596703	
160	20.115999	0.197000	3.142000	0.379000	25.475000	39.254169	88.841759	
161	21.955000	0.205000	2.700000	0.440000	27.445999	36.435184	81.187508	
162	17.434000	0.204000	3.898000	0.459000	23.677000	42.235081	100.732315	
163	16.649000	3.588000	3.749000	0.387000	22.173000	45.099895	110.915871	
164	20.367001	0.197000	3.977000	0.438000	26.752001	37.380383	87.013168	
165	14.895000	4.686000	4.148000	0.536000	22.572001	44.302673	113.406754	
166	18.781000	0.270000	3.950000	0.422000	25.542000	39.151203	92.669685	
167	14.641000	0.703000	4.302000	0.509000	20.761000	48.167236	124.532127	
168	18.318001	0.212000	3.718000	0.436000	24.480000	40.849674	97.964394	
169	18.115000	0.368000	4.076000	0.397000	23.899000	41.842754	101.682571	
170	18.292999	0.198000	3.697000	0.355000	24.784000	40.348610	94.639557	
171	18.832001	1.101000	3.367000	0.350000	26.212999	38.149010	88.820343	
172	32.842999	0.140000	2.510000	0.357000	38.375999	26.057953	54.214951	
173	16.836000	0.630000	4.039000	0.373000	24.051001	41.578312	101.024933	
174	20.063999	0.184000	3.141000	0.343000	26.233999	38.118473	84.729240	
175	20.576000	0.243000	2.946000	0.330000	26.341000	37.963631	89.246109	
176	19.451000	4.601000	4.146000	0.390000	26.125999	38.276047	89.885887	
177	21.603001	0.193000	2.973000	0.351000	26.927000	37.137447	82.584343	
