drawtime	alpharemove	copytime
6.398000	6.205000	1.169000
6.309000	6.118000	0.969000
6.085000	6.019000	0.975000
5.724000	5.979000	0.972000
5.347000	5.977000	0.902000
5.671000	5.576000	0.946000
4.754000	3.030000	0.550000
4.719000	2.913000	0.733000
4.857000	5.907000	0.843000
4.614000	5.941000	0.785000
4.538000	6.026000	0.927000
5.044000	5.989000	1.019000
4.599000	5.984000	0.954000
4.476000	5.984000	0.977000
4.388000	5.935000	1.018000
4.739000	6.035000	0.851000
4.361000	5.978000	0.963000
4.731000	5.974000	0.950000
4.851000	5.692000	0.907000
5.268000	2.927000	0.577000
5.714000	5.763000	0.960000
5.788000	6.048000	0.856000
6.865000	5.952000	1.029000
6.428000	5.943000	0.905000
6.515000	5.947000	0.988000
6.765000	5.925000	0.981000
6.249000	6.025000	0.927000
6.217000	6.024000	0.947000
6.668000	6.020000	0.925000
6.622000	5.930000	0.931000
6.422000	5.935000	0.890000
6.360000	5.942000	0.956000
7.280000	6.020000	1.728000
6.252000	6.047000	0.958000
6.222000	6.048000	0.974000
6.239000	6.045000	0.977000
6.087000	6.028000	0.985000
6.248000	6.003000	0.961000
6.675000	6.020000	0.982000
6.286000	6.035000	0.957000
6.324000	6.020000	0.885000
6.835000	6.005000	0.830000
6.311000	6.026000	0.922000
6.380000	6.029000	0.899000
7.295000	6.026000	0.972000
6.361000	6.039000	0.974000
6.312000	6.027000	0.980000
6.648000	6.012000	0.925000
6.426000	6.010000	0.923000
6.216000	6.000000	0.964000
6.451000	6.058000	0.924000
7.097000	6.010000	1.045000
6.348000	6.028000	0.980000
6.262000	5.715000	0.883000
6.519000	6.012000	0.906000
6.233000	6.021000	0.804000
6.256000	6.023000	0.801000
6.678000	6.003000	0.977000
7.413000	6.021000	0.765000
7.214000	6.002000	0.778000
6.679000	3.492000	0.766000
6.185000	2.846000	0.532000
6.800000	2.825000	0.502000
7.453000	2.968000	0.757000
6.210000	3.314000	0.462000
6.221000	2.775000	0.751000
8.512000	6.204000	1.024000
7.858000	3.465000	1.648000
7.262000	3.158000	1.629000
6.378000	6.721000	0.858000
6.444000	5.983000	0.762000
6.331000	6.239000	0.825000
6.506000	6.113000	0.823000
6.392000	5.967000	0.829000
7.260000	5.980000	0.902000
6.277000	6.018000	0.992000
6.228000	5.938000	0.848000
6.418000	6.318000	1.125000
6.053000	6.225000	0.823000
6.190000	6.464000	0.790000
6.416000	5.883000	1.040000
6.596000	5.917000	1.220000
6.567000	6.099000	1.277000
6.234000	5.895000	0.954000
5.836000	6.415000	0.832000
5.821000	6.008000	0.973000
5.836000	5.854000	0.930000
6.017000	2.954000	0.630000
6.276000	6.008000	0.814000
6.053000	6.229000	0.736000
6.455000	6.139000	0.872000
6.418000	6.004000	0.985000
5.923000	6.068000	1.119000
6.538000	5.994000	1.076000
7.249000	6.008000	1.298000
6.606000	6.015000	0.926000
5.941000	6.015000	1.224000
5.004000	5.997000	1.035000
4.664000	6.037000	0.948000
4.074000	6.027000	0.841000
4.072000	6.068000	0.820000
4.021000	6.038000	0.990000
4.044000	6.033000	0.750000
4.580000	6.008000	0.889000
4.253000	6.234000	1.415000
4.283000	6.041000	0.984000
4.917000	6.003000	0.972000
4.559000	6.051000	1.013000
5.466000	6.009000	0.817000
5.326000	6.100000	0.878000
5.558000	6.023000	0.835000
5.798000	6.022000	0.928000
5.928000	6.011000	0.866000
5.590000	6.065000	0.928000
5.520000	6.052000	0.953000
5.608000	5.921000	0.967000
5.642000	6.032000	0.973000
5.718000	6.026000	0.950000
4.885000	5.988000	0.949000
5.223000	6.094000	1.048000
4.815000	5.994000	0.894000
4.793000	6.182000	0.955000
5.207000	6.064000	1.005000
5.869000	5.989000	0.893000
5.308000	5.979000	0.899000
5.335000	6.020000	0.978000
5.457000	6.045000	1.542000
5.992000	5.853000	0.909000
5.563000	2.890000	0.968000
6.083000	2.996000	0.721000
5.427000	3.229000	0.912000
5.424000	5.978000	1.003000
5.512000	6.027000	0.849000
5.970000	6.192000	0.996000
5.495000	6.207000	0.772000
5.780000	6.037000	0.746000
5.738000	6.032000	0.959000
5.417000	6.018000	1.204000
5.517000	6.486000	1.053000
5.999000	6.010000	0.896000
5.497000	6.014000	0.825000
6.203000	6.219000	0.789000
6.025000	6.050000	1.004000
6.007000	6.038000	1.093000
5.934998	6.198000	0.783000
5.779000	6.021000	1.133000
5.203000	6.236000	0.961000
5.197000	6.399000	0.797000
5.127000	6.219000	0.966000
5.378000	6.195000	0.890000
5.183000	6.039000	0.961000
5.260000	6.025000	0.789000
5.207000	6.066000	0.709000
5.189000	6.016000	0.760000
5.192000	6.041000	0.756000
5.519000	6.037000	0.935000
5.761000	6.014000	0.802000
6.211000	6.070000	0.860000
5.382000	5.974000	0.956000
4.944000	6.013000	0.766000
5.157000	6.139000	0.937000
5.299000	5.991000	0.708000
5.503000	6.083000	0.940000
5.708000	6.015000	0.952000
5.752000	5.992000	0.812000
6.400000	5.972000	0.813000
6.459000	6.075000	0.763000
5.898000	5.993000	0.885000
5.979000	5.992000	1.192000
6.321000	6.314000	0.885000
5.717000	6.014000	0.873000
5.885000	6.104000	0.924000
5.681000	6.429000	0.829000
5.444000	5.959000	0.805000
6.527000	5.995000	0.996000
6.415000	6.369000	0.804000
5.770996	5.953000	0.813000
5.936000	6.004000	0.880000
6.296000	6.090000	1.036000
6.218000	6.188000	0.967000
6.257000	6.192000	0.925000
5.975000	6.145000	1.179000
5.922000	6.078000	1.197000
6.092000	6.405000	1.194000
5.986000	6.263000	0.947000
5.974000	6.061000	0.844000
6.598000	6.012000	0.936000
6.232000	6.030000	1.078000
6.010000	6.017000	0.911000
5.937000	6.027000	0.913000
6.285000	6.140000	0.995000
6.088000	6.014000	0.968000
6.142000	6.037000	0.938000
6.312000	6.465000	0.903000
6.209000	6.102000	0.956000
6.187000	6.101000	1.066000
6.518000	6.041000	0.932000
6.878000	6.220000	1.130000
6.199000	6.023000	0.900000
6.204000	6.003000	0.986000
7.055000	6.199000	0.904000
6.161000	5.951000	0.950000
6.324000	5.961000	0.928000
6.168000	6.035000	1.531000
6.392000	6.228000	0.898000
6.224000	6.150000	1.018000
6.079000	5.503000	0.913000
5.928000	2.854000	0.641000
6.164000	3.097000	0.709000
6.064000	6.065000	0.936000
6.100000	6.131000	0.946000
6.121000	6.036000	1.004000
6.524000	6.023000	1.166000
6.179000	6.040000	0.923000
6.011000	6.031000	0.798000
6.458000	6.020000	0.928000
6.737000	6.027000	1.240000
6.802000	6.006000	1.191000
6.979000	6.013000	0.941000
6.018000	6.021000	1.754000
7.038000	6.035000	0.920000
6.488000	6.015000	0.980000
6.183000	6.016000	0.811000
6.096000	6.043000	0.891000
6.004000	5.988000	0.959000
7.028000	6.002000	0.924000
6.609000	5.523000	0.879000
6.368000	6.026000	1.027000
6.581000	6.000000	0.883000
6.761000	5.996000	0.949000
6.919000	5.997000	0.901000
6.794000	6.003000	0.884000
6.408000	6.020000	0.815000
6.355000	6.014000	0.928000
6.526000	6.049000	0.911000
6.368000	6.016000	0.935000
6.311000	5.995000	0.810000
6.963000	6.037000	0.815000
6.195007	5.996000	0.907000
6.793000	6.044000	0.826000
6.766000	6.053000	0.882000
5.762000	5.998000	0.914000
5.597000	5.976000	0.760000
5.526000	4.932000	1.025000
5.327000	2.839000	0.607000
5.502000	2.914000	0.717000
5.553000	5.991000	1.370000
5.676000	6.021000	0.970000
5.928000	6.012000	0.974000
5.798000	5.987000	0.948000
5.864000	5.992000	0.858000
5.732000	6.203000	1.045000
5.770000	6.038000	0.929000
6.084000	5.873000	0.942000
5.734000	6.123000	0.968000
5.814000	6.007000	0.898000
6.234000	6.016000	0.994000
5.761000	6.348000	0.794000
5.730000	5.999000	0.933000
6.476000	5.994000	0.942000
6.490000	6.014000	0.971000
6.005000	5.997000	0.856000
5.722000	6.027000	0.895000
5.775000	6.043000	0.800000
5.715000	6.030000	0.971000
5.828000	6.027000	0.996000
6.133000	6.206000	1.130000
6.078000	6.000000	0.907000
5.994000	5.961000	0.813000
6.163000	6.141000	0.930000
5.726000	6.046021	0.962000
