drawtime	alpharemove	copytime
6.112000	3.720000	1.057000
6.948000	3.676000	1.181000
6.006000	2.958000	0.977000
5.903000	1.506000	0.831000
6.015000	1.636000	0.821000
6.326000	2.152000	0.763000
6.267000	3.665000	0.862000
6.383000	3.647000	0.871000
6.983000	3.797000	1.125000
6.306000	3.717000	1.091000
6.329000	3.604000	1.077000
6.257000	3.626000	1.062000
6.274000	3.602000	0.905000
6.346000	3.724000	0.925000
6.356000	3.674000	0.922000
7.210022	1.546000	0.678000
6.156000	3.665000	1.042000
6.238000	3.653000	1.059000
6.236000	3.726000	1.061000
6.243000	1.490000	0.858000
6.193000	3.748000	1.081000
6.276000	3.702000	1.065000
6.819000	3.666000	1.165000
6.344000	3.633000	1.054000
6.912000	3.615000	1.367000
6.184000	3.637000	1.066000
6.444000	3.624000	0.930000
6.319000	3.752000	0.904000
6.359000	3.703000	0.930000
7.473000	3.669000	1.054000
6.275000	3.646000	0.864000
6.273000	3.655000	0.894000
6.802000	3.677000	1.321000
6.620000	3.639000	1.037000
6.035000	3.695000	0.958000
6.213000	3.667000	1.055000
6.887000	3.642000	1.124000
6.102000	3.643000	1.050000
6.903000	3.634000	1.351000
6.368000	3.664000	1.081000
6.724000	3.660000	1.090000
6.357000	3.693000	0.911000
6.220000	3.703000	1.008000
6.758000	3.684000	1.081000
6.357000	3.696000	1.060000
6.768000	3.701000	0.880000
6.765000	3.678000	0.998000
6.752000	3.680000	1.047000
6.365000	3.701000	0.858000
6.846000	3.782000	1.468000
6.921000	2.900000	1.042000
6.527000	2.147000	0.961000
6.855000	3.791000	1.322000
6.813000	3.813000	2.446000
6.286000	3.955000	0.984000
7.322000	4.596000	0.843000
8.239000	4.096000	1.027000
7.988000	2.050000	0.654000
6.929000	1.557000	0.627000
7.076000	1.514000	0.635000
8.283000	1.524000	0.903000
7.676000	3.887000	1.521000
6.998000	4.331000	0.889000
7.180000	3.643000	1.247000
8.781000	3.682000	0.837000
7.439000	2.441000	1.682000
6.065000	1.553000	0.510000
7.133000	2.149000	0.902000
6.185000	3.728000	2.822000
6.192000	4.556000	1.067000
6.471000	3.618000	0.880000
7.978000	2.926000	0.986000
7.158000	2.450000	1.356000
6.226000	2.612000	0.707000
7.335000	3.673000	1.562000
8.077000	3.665000	1.440000
7.573000	4.194000	1.236000
6.347000	3.753000	0.849000
6.045000	2.952000	0.924000
6.714000	1.747000	1.264000
5.969000	1.526000	0.602000
8.093000	3.707000	1.027000
6.055000	3.734000	2.620000
6.053000	3.682000	2.054000
6.705000	3.694000	0.933000
6.065000	3.626000	0.876000
7.694000	3.684000	1.244000
6.567000	3.709000	0.879000
5.971000	3.676000	1.036000
6.084000	3.689000	0.953000
6.696000	3.707000	0.884000
6.799000	2.076000	0.754000
6.504000	1.732000	0.533000
7.728000	3.493000	0.726000
7.179000	3.400000	1.327000
5.931000	3.302000	0.860000
6.097000	3.162000	0.793000
5.810000	3.416000	0.893000
6.483000	3.648000	1.080000
6.027000	3.157000	0.781000
5.949000	3.177000	0.765000
6.402000	3.396000	0.918000
6.416000	3.123000	0.887000
6.002000	3.175000	0.779000
6.084000	2.036000	0.611000
6.000000	1.590000	0.413000
7.522000	3.865000	1.249000
6.610000	4.177000	0.907000
6.096000	3.768000	0.872000
6.426000	3.658000	1.141000
6.163000	3.672000	0.650000
6.649000	3.986000	0.900000
6.496000	3.661000	0.923000
6.106000	3.708000	0.972000
5.994000	3.654000	1.019000
5.901000	3.648000	1.004000
5.957000	3.640000	1.007000
5.974000	3.708000	0.753000
6.430000	3.678000	1.265000
6.435000	3.776000	1.060000
6.092000	3.005000	0.759000
6.577000	1.705000	1.101000
6.129000	1.956000	0.974000
6.930000	1.538000	0.508000
6.650000	1.723000	0.817000
6.094000	3.767000	0.983000
7.060000	3.514000	0.853000
6.205000	4.040000	0.915000
6.029000	3.540000	0.739000
6.077000	3.679000	1.038000
5.926000	3.672000	1.162000
5.946000	3.694000	0.997000
6.034000	3.685000	0.657000
6.690000	3.734000	0.922000
6.357000	3.902000	1.323000
6.680000	3.732000	0.896000
6.376000	3.764000	0.827000
6.350000	3.725000	0.860000
6.549000	3.682000	0.944000
6.102000	3.677000	0.957000
6.034000	3.741000	1.027000
7.049000	3.662000	0.955000
5.869000	3.714000	0.883000
6.100000	3.697000	1.003000
5.918000	3.650000	1.016000
5.917000	3.626000	0.993000
6.018000	3.653000	0.985000
5.949000	3.647000	0.990000
6.372000	3.673000	1.075000
6.079000	3.623000	1.010000
5.997000	3.743000	0.999000
6.049000	3.628000	1.006000
5.957000	3.803000	1.239000
6.101000	3.755000	0.915000
5.945000	4.320984	1.229000
6.439000	3.663000	1.072000
5.890000	3.708000	1.030000
5.899000	3.712000	1.005000
5.873000	3.679000	1.014000
5.941000	3.647000	0.922000
5.872000	3.652000	0.850000
6.006000	3.652000	0.971000
6.535000	3.619000	1.013000
5.999000	3.667000	1.016000
5.934000	3.620000	0.976000
6.019000	3.618000	0.999000
6.432000	3.599000	1.004000
5.849000	3.793000	0.979000
5.833000	3.642000	0.962000
5.947000	3.632000	1.152000
6.100000	3.639000	1.004000
6.279000	3.955000	1.005000
6.278000	3.683000	0.961000
6.026000	3.723000	1.001000
6.006000	3.764000	1.022000
6.080000	3.984000	1.012000
5.999000	3.710000	0.709000
5.716000	3.725000	0.986000
5.929000	3.629000	1.001000
5.797000	3.729000	1.037000
5.690000	3.655000	1.003000
6.617000	3.629000	0.840000
5.602000	3.643000	1.024000
5.837000	3.605000	1.106000
5.346000	3.622000	0.935000
5.145000	3.623000	0.983000
5.024000	3.622000	1.076000
5.130000	3.637000	0.998000
5.037000	3.845000	0.876000
6.606995	3.662000	1.034000
5.782000	3.634000	1.127000
5.783000	3.732000	0.987000
6.041000	3.607000	1.020000
5.656000	3.650000	0.992000
5.742000	3.662000	0.869000
5.783000	2.364000	0.750000
6.318000	2.360000	0.723000
6.074000	1.554000	0.759000
5.628000	3.703000	0.886000
5.555000	3.739000	0.807000
6.031000	3.640000	0.918000
6.670000	3.627000	1.147000
6.062000	3.719000	1.048000
6.233000	3.745000	1.038000
6.420000	3.379000	1.089000
6.415000	3.651000	0.871000
6.719000	3.634000	0.904000
6.124000	3.741000	1.045000
6.507000	3.633000	1.006000
5.741000	3.631000	1.038000
5.864000	3.634000	0.980000
5.692000	3.629000	1.013000
6.024000	3.644000	0.872000
5.917000	3.662000	0.822000
5.833000	3.648000	0.902000
6.187000	3.633000	1.077000
5.543000	3.660000	0.945000
5.636000	3.664000	1.049000
5.909000	3.698000	1.021000
5.965000	3.656000	1.004000
6.042000	3.733000	0.828000
5.955000	3.625000	1.051000
6.344000	3.621000	1.069000
6.028000	3.644000	1.061000
6.798000	3.643005	1.014000
6.062000	3.659000	0.839000
5.919000	3.653000	1.006000
5.871000	3.746000	1.028000
6.036000	3.658000	1.012000
6.385000	3.634000	1.070000
6.211000	3.637000	0.892000
6.575000	3.946000	1.418000
6.068000	3.671000	1.062000
6.376000	3.692000	1.034000
5.952000	3.763000	0.986000
6.330000	3.674000	0.842000
6.684000	3.629000	1.012000
6.487000	3.663000	0.798000
6.317000	3.957000	1.018000
6.563000	3.646000	1.052000
6.627000	3.772000	0.908000
6.582000	3.683000	0.977000
6.302000	3.672000	1.013000
6.873000	3.632000	1.035000
6.367000	2.013000	0.740000
6.836000	3.953000	1.292000
6.367000	3.644000	1.004000
6.412000	3.628000	1.145000
5.986000	3.633000	0.887000
6.041000	3.627000	0.997000
6.387000	3.616000	1.113000
6.075000	3.620000	0.921000
5.907000	3.702000	0.984000
6.715000	3.656000	0.858000
6.100000	3.626000	0.862000
6.249000	3.628000	1.030000
5.988000	3.623000	0.842000
6.374000	3.630000	1.200000
6.406000	3.360000	0.881000
6.815000	1.533020	0.628000
