drawtime	alpharemove	copytime
6.388000	4.043000	0.809000
6.160000	3.518000	0.834000
6.670000	3.519000	0.745000
6.029000	3.519000	0.852000
6.385000	3.525000	1.700000
6.845000	3.523000	0.918000
6.193000	3.628000	0.741000
7.183000	3.673000	0.821000
6.265000	3.767000	0.646000
6.382000	3.587000	0.994000
5.929000	3.531000	1.574000
6.653000	3.532000	0.888000
6.172000	3.515000	0.746000
6.223000	3.524000	1.476000
6.620000	3.746000	0.906000
6.684000	3.505000	0.968000
5.970000	3.641000	0.736000
6.225000	3.773000	0.579000
6.298000	3.715000	0.819000
6.653992	3.728000	0.863000
6.357000	3.524000	0.746000
5.946000	3.853000	0.736000
6.166000	3.503000	1.504000
6.625000	3.493000	0.729000
6.015000	3.523000	0.847000
6.008000	4.054000	0.782000
6.960000	3.686000	0.900000
6.475000	3.509000	1.007000
6.183000	3.507000	0.740000
5.974000	3.823000	0.813000
6.291000	3.547000	0.839000
6.307000	3.504000	0.870000
6.624000	3.536000	0.930000
6.270000	3.608000	0.820000
5.991000	4.086000	0.705000
5.952000	3.645000	0.766000
6.848000	3.657000	0.735000
6.465000	3.523000	1.022000
6.583000	3.637000	0.746000
5.939000	3.624000	0.770000
5.867000	3.593000	1.262000
5.861000	3.511000	0.829000
5.976000	3.633000	0.851000
6.148000	3.658000	1.609000
6.742000	3.546000	0.736000
6.546000	3.490000	0.858000
5.840000	3.840000	0.990000
7.197000	3.545000	0.580000
5.857000	3.528000	0.869000
5.974000	4.209000	0.734000
7.106000	3.511000	1.026000
6.295000	3.730000	0.884000
6.760000	3.681000	0.907000
6.574000	3.516000	0.876000
6.434000	4.078000	0.845000
7.042000	3.534000	1.091000
6.218000	3.519000	0.744000
6.112000	4.053000	0.883000
6.864000	3.501000	0.826000
6.751000	3.512000	0.855000
6.607000	3.516000	0.817000
5.966000	3.752000	0.737000
6.319000	3.516000	0.843000
6.091000	3.853000	1.205000
6.558000	3.829000	0.768000
5.875000	3.816000	0.746000
5.809000	3.682000	1.210000
6.184000	3.471000	0.844000
6.626000	3.469000	1.152000
6.328000	3.465000	0.745000
5.962000	3.812000	0.798000
5.984000	3.701000	0.871000
7.352000	3.505000	0.796000
5.973000	3.642000	0.741000
6.093000	3.700000	1.511000
6.279000	3.483000	0.802000
6.112000	3.487000	1.050000
5.971000	4.055000	0.863000
6.884000	3.612000	1.024000
5.851000	3.484000	0.760000
6.080000	3.604000	1.279000
7.018000	3.480000	0.867000
6.262000	3.459000	0.659000
5.770000	3.906000	0.786000
6.718000	3.659000	0.757000
6.084000	3.478000	0.919000
6.248000	3.923000	0.784000
7.466000	3.503000	0.756000
5.899000	3.504000	0.759000
5.842000	3.904000	0.856000
6.910000	3.756000	0.832000
6.362000	3.631000	0.764000
5.981000	3.618000	1.475000
5.925000	3.673000	0.748000
6.147000	3.718000	0.978000
6.521000	3.812000	0.564000
5.893000	3.773000	0.752000
5.875000	3.528000	1.082000
6.503000	3.666000	0.733000
6.250000	3.783000	0.823000
5.864000	3.731000	0.819000
6.611000	3.526000	0.822000
6.093000	3.773000	0.758000
6.205000	3.747000	0.849000
6.603000	3.512000	0.816000
5.894000	3.664000	0.740000
6.054000	3.517000	0.815000
5.833000	3.535000	0.856000
6.217000	3.758972	1.000000
5.814000	4.190000	0.749000
6.746000	3.506000	0.662000
5.830000	3.611000	0.760000
6.468000	3.632000	1.031000
6.902000	3.531000	0.787000
5.830000	3.935000	0.888000
6.244000	3.614000	1.307000
6.939000	3.658000	0.799000
6.172000	3.833000	0.777000
6.862000	3.777000	0.748000
6.167000	3.812000	0.757000
5.872000	3.553000	0.855000
6.164000	3.623000	0.950000
6.921000	3.541000	0.741000
5.988000	3.558000	0.737000
6.273000	3.600000	1.304000
5.881000	3.673000	0.754000
6.546000	3.598000	0.842000
5.769000	3.600000	1.672000
6.867000	3.554000	0.769000
6.233000	3.582000	0.705000
6.197000	3.564000	0.925000
5.842000	3.519000	0.879000
5.922000	4.182000	0.750000
6.701000	3.545000	0.853000
5.943000	3.517000	0.746000
6.430000	3.543000	0.738000
5.941000	3.570000	1.262000
6.411000	3.535000	0.734000
5.906000	3.505000	0.736000
6.045000	3.821000	0.865000
6.176000	3.634000	1.552000
7.008000	3.554000	0.817000
5.887000	3.513000	0.872000
5.807000	4.016000	0.628000
6.764000	3.516000	0.935000
6.056000	3.507000	0.749000
5.883000	3.596000	0.732000
5.799000	3.579000	0.736000
6.701000	3.524000	0.675000
6.191000	3.516000	0.789000
5.786000	3.546000	0.640000
6.581000	3.548000	1.085000
6.085000	3.510000	0.737000
