framenum	drawtime	copytime
681	4.650000	0.931000
682	4.284000	0.917000
683	4.351000	0.887000
684	4.630000	0.873000
685	4.291000	0.813000
686	4.249000	0.835000
687	4.476000	0.942000
688	4.402000	0.900000
689	4.342000	0.988000
690	4.651000	0.944000
691	5.271000	0.907000
692	4.253000	0.972000
693	4.533000	0.819000
694	4.397000	0.781000
695	4.401000	0.843000
696	4.440000	0.802000
697	4.877000	0.915000
698	4.997000	0.880000
699	4.884000	0.847000
700	4.504000	1.217000
701	5.185000	0.805000
702	4.836000	1.108000
703	4.627000	0.789000
704	4.683000	0.791000
705	4.597000	1.789000
706	4.610000	1.209000
707	4.590000	1.055000
708	4.574000	0.892000
709	5.047000	0.936000
710	5.248000	0.832000
711	4.542000	0.798000
712	4.733000	0.794000
713	5.460000	0.952000
714	4.554000	0.844000
715	8.667000	0.760000
716	4.930000	0.902000
717	4.484000	0.570000
718	4.584000	0.871000
719	4.635000	0.869000
720	5.066000	0.903000
721	4.635000	0.835000
722	5.335000	0.868000
723	4.769000	0.870000
724	4.864000	0.889000
725	5.323000	0.858000
726	4.543000	0.865000
727	4.736000	0.855000
728	4.661000	0.758000
729	4.618000	0.894000
730	5.657000	0.812000
731	4.932000	0.899000
732	4.630000	0.883000
733	4.973000	0.816000
734	4.868000	0.869000
735	5.255000	0.889000
736	5.730000	0.825000
737	6.083000	0.839000
738	5.627000	0.916000
739	6.673000	1.019000
740	6.371000	1.432000
741	5.934000	1.011000
742	6.185000	0.908000
743	5.899000	0.884000
744	6.280000	0.835000
745	5.891000	0.880000
746	6.252000	0.883000
747	6.046000	0.625000
748	6.509000	0.960000
749	6.590000	0.900000
750	6.388000	0.819000
751	6.245000	0.837000
752	6.457000	0.853000
753	6.684000	1.064000
754	6.707000	1.271000
755	6.600000	0.842000
756	6.890000	0.911000
757	6.469000	1.044000
758	6.052000	1.037000
759	5.911000	1.172000
760	5.518000	1.018000
761	5.410000	1.015000
762	5.326000	1.276000
763	5.418000	0.799000
764	4.843000	0.836000
765	4.867000	0.983000
766	4.721000	0.842000
767	5.546000	1.139000
768	4.781000	0.888000
769	4.698000	0.646000
770	4.366000	0.793000
771	5.269000	0.694000
772	4.419000	0.800000
773	4.288000	0.811000
