framenum	recvswapchain	sendcamera	alphaadd	copyintoswap	netframetime	fps	mbps
155	14.214000	0.199000	3.683000	0.264000	19.291000	51.837643	131.020752	
156	15.299000	0.252000	3.891000	0.473000	20.937000	47.762333	122.700035	
157	17.635000	0.197000	3.717000	0.450000	23.108000	43.275055	104.006325	
158	19.511000	0.221000	3.348000	0.446000	24.768999	40.373047	94.712502	
159	17.639000	0.203000	3.727000	0.380000	22.989000	43.499065	105.229500	
160	17.983999	0.208000	3.748000	0.433000	23.323999	42.874294	103.725380	
161	16.427000	4.273000	3.732000	0.472000	21.806999	45.856838	112.754631	
162	21.784000	0.141000	2.029000	0.541000	27.170000	36.805302	78.574471	
163	18.058001	0.216000	3.607000	0.342000	23.697001	42.199432	99.962044	
164	18.902000	0.206000	3.539000	0.381000	24.018999	41.633709	97.751373	
165	18.743999	0.203000	3.261000	0.458000	23.698999	42.195873	98.540497	
166	17.174000	0.198000	2.876000	0.345000	23.066999	43.351974	98.351212	
167	19.181999	0.408000	3.110000	0.621000	24.061001	41.561031	97.030952	
168	16.686001	0.196000	2.924000	0.355000	23.958000	41.739712	94.484322	
169	17.961000	0.195000	3.462000	0.434000	23.023001	43.434826	102.989334	
170	17.504000	0.197000	3.267000	0.381000	23.527000	42.504356	98.545761	
171	19.452000	0.239000	2.753000	0.387000	24.662001	40.548210	91.347015	
172	32.910999	0.158000	2.266000	0.381000	37.897999	26.386618	54.242077	
173	18.292000	0.202000	2.643000	0.364000	24.482000	40.846336	91.125717	
174	18.490000	0.233000	2.436000	0.355000	22.658001	44.134521	98.503639	
175	19.712999	0.138000	1.993000	0.346000	22.997999	43.482044	93.034515	
176	18.002001	0.273000	3.684000	0.469000	25.806999	38.749176	89.828941	
177	15.149000	0.213000	3.744000	0.466000	25.025000	39.960041	94.878265	
178	18.419001	0.302000	3.726000	0.469000	23.771000	42.068066	100.424973	
179	18.400999	0.226000	3.741000	0.379000	23.681000	42.227947	100.919846	
180	16.969999	0.182000	3.677000	0.422000	22.003000	45.448349	109.989265	
181	14.860000	0.117000	1.688000	0.299000	19.580999	51.069916	109.943329	
182	20.886999	0.199000	3.713000	0.378000	26.017000	38.436405	88.858894	
183	16.351999	0.189000	3.737000	0.444000	21.636000	46.219265	114.221985	
184	15.617004	0.244000	3.752000	0.390000	20.734985	48.227669	117.972176	
185	18.025999	0.206000	3.700000	0.429000	23.155001	43.187214	103.789619	
186	16.749001	0.199000	3.749000	0.586000	22.208000	45.028816	110.935905	
187	15.752000	0.202000	3.726000	0.427000	20.979000	47.666714	117.995003	
188	16.841999	0.202000	3.718000	0.646000	23.179001	43.142498	105.924950	
189	15.784000	0.224000	3.720000	0.466000	21.615999	46.262032	113.686546	
190	17.731001	0.208000	3.717000	0.409000	24.698999	40.487469	94.951576	
191	18.575001	0.190000	3.707000	0.499000	23.980000	41.701420	99.664764	
192	17.514999	0.200000	3.720000	0.404000	22.808001	43.844265	106.765526	
193	16.000000	4.211000	3.706000	0.491000	21.415001	46.696239	115.315308	
194	20.337999	0.205000	2.784000	0.368000	24.643999	40.577831	90.909981	
195	13.519000	0.210000	3.753000	0.471000	22.125000	45.197739	112.171379	
196	14.930000	0.187000	3.693000	0.355000	20.659000	48.405052	119.696075	
197	13.349000	0.188000	3.709000	0.640000	21.497999	46.515957	117.244453	
198	14.091000	0.893000	3.697000	0.467000	21.291000	46.968201	118.632942	
199	15.481000	0.289000	3.715000	0.481000	21.415001	46.696239	114.314056	
200	13.998000	0.194000	3.697000	0.394000	20.249001	49.385155	122.471756	
201	15.000000	0.172000	3.729000	1.178000	20.959000	47.712200	123.912598	
202	15.173000	0.379000	3.679000	0.499000	21.367001	46.801140	116.370987	
203	16.135000	0.196000	3.758000	0.403000	21.403999	46.720242	115.048996	
204	15.842000	0.233000	3.692000	0.416000	21.128000	47.330555	116.998863	
205	16.187000	0.217000	3.676000	0.451000	23.364000	42.800888	104.840454	
206	16.739000	0.197000	3.723000	0.387000	22.082001	45.285751	110.989342	
207	17.500000	0.199000	3.618000	0.459000	22.794001	43.871193	106.994835	
208	18.247999	0.193000	3.421000	0.355000	23.180000	43.140636	102.616638	
209	15.749000	4.116000	3.699000	0.390000	22.500999	44.442471	106.126205	
210	22.379999	0.154000	2.466000	0.377000	26.475000	37.771481	83.410263	
211	21.566000	0.191000	2.496000	0.437000	25.861000	38.668266	86.543335	
212	17.415001	0.192000	3.331000	0.378000	23.348000	42.830223	101.430763	
213	14.176000	0.220000	3.668000	0.408000	20.952999	47.725864	119.069771	
214	15.498000	0.213000	3.718000	0.397000	21.875000	45.714287	111.344673	
215	18.350000	0.230000	3.289000	0.356000	23.118999	43.254467	100.310204	
216	18.892000	3.582000	3.164000	0.435000	23.808001	42.002686	97.364113	
217	20.663000	0.160000	2.308000	0.327000	26.250000	38.095238	82.197647	
218	18.309000	2.870000	2.503000	0.577000	26.896999	37.178867	81.016220	
219	17.309000	0.221000	1.484000	0.553000	22.268999	44.905476	98.979698	
220	20.165001	0.279000	2.771000	0.459000	24.798000	40.325832	90.610558	
221	18.787001	0.190000	3.238000	0.361000	23.601999	42.369293	97.751373	
222	18.415001	0.694000	3.337000	0.433000	23.514999	42.526047	98.767548	
223	17.634001	0.239000	3.686000	0.436000	23.113001	43.265694	103.550560	
224	14.909000	0.241000	3.792000	0.455000	21.854000	45.758213	114.236130	
225	19.134001	0.197000	3.810000	1.075000	26.062000	38.370041	93.378586	
226	14.783000	0.206000	3.720000	0.373000	21.694000	46.095695	114.448929	
227	19.440002	0.224000	3.706000	0.396000	24.692993	40.497318	96.300865	
228	15.030000	0.369000	5.320000	0.327000	26.306999	38.012699	97.482536	
229	15.508000	0.198000	3.705000	0.333000	21.705999	46.070213	110.762573	
230	16.870001	0.809000	3.716000	0.635000	24.407000	40.971851	97.684036	
231	18.830000	0.336000	5.552000	0.406000	26.754000	37.377590	97.292168	
232	16.523001	0.210000	3.729000	0.390000	22.391001	44.660801	112.775330	
233	17.680000	0.220000	3.694000	1.133000	25.301001	39.524128	101.615311	
234	16.457001	0.222000	3.751000	1.093000	22.535999	44.373447	113.511513	
235	15.673000	0.232000	3.717000	0.530000	23.343000	42.839394	108.769035	
236	16.707001	0.528000	7.484000	0.530000	26.427000	37.840088	111.203613	
237	10.369000	0.247000	3.732000	2.076000	19.003000	52.623268	154.514206	
238	15.710000	0.177000	3.679000	0.782000	22.254000	44.935741	112.267029	
